"","name.x","identifier","unique_name","key_bigbash","key_cricbuzz","key_crichq","key_cricinfo","key_cricinfo_2","key_cricingif","key_cricketarchive","key_cricketarchive_2","key_opta","key_opta_2","key_pulse","key_pulse_2","name.y","country","Full Name","Born","Age","Batting Style","Bowling Style","Playing Role","Fielding Position"
"226","HK Matthews","d32cf49a","HK Matthews",8188,NA,NA,474308,NA,NA,1012579,NA,NA,NA,3126,NA,"Hayley Matthews","West Indies","Hayley Kristen Matthews","March 19, 1998","23y 247d","Right hand bat","Right arm offbreak","Opening batter",NA
"227","AE Satterthwaite","72b7ed1e","AE Satterthwaite",5867,NA,NA,233007,NA,NA,73098,NA,NA,NA,487,NA,"Amy Satterthwaite","New Zealand","Amy Ella Satterthwaite","October 07, 1986, Christchurch, Canterbury","35y 45d","Left hand bat","Right arm offbreak","Top order batter",NA
"228","K Fryett","0d19fa13","K Fryett",NA,NA,NA,275526,NA,NA,NA,NA,NA,NA,NA,NA,"Katelyn Fryett","Australia","Katelyn Fryett","May 28, 1992","29y 177d","Right hand bat","Right arm fast medium",NA,NA
"229","B Hepburn","df04fc4f","B Hepburn",8008,NA,NA,437254,NA,NA,913885,NA,NA,NA,NA,NA,"Brooke Hepburn","Australia","Brooke Louise Hepburn","April 19, 1990, Launceston, Tasmania","31y 216d","Right hand bat","Right arm medium","Bowler",NA
"230","HC Knight","4ba0289e","HC Knight",5499,NA,NA,358259,NA,NA,228177,NA,NA,NA,552,NA,"Heather Knight","England","Heather Clare Knight","December 26, 1990, Plymouth","30y 330d","Right hand bat","Right arm offbreak","Middle order batter",NA
"231","SW Bates","89bbc67a","SW Bates",5854,NA,NA,54565,NA,NA,45878,NA,NA,NA,474,NA,"Suzie Bates","New Zealand","Suzannah Wilson Bates","September 16, 1987, Dunedin, Otago","34y 66d","Right hand bat","Right arm medium","Allrounder",NA
"232","KH Brunt","6a434bd3","KH Brunt",5496,NA,NA,53906,NA,NA,67090,NA,NA,NA,547,NA,"Katherine Brunt","England","Katherine Helen Brunt","July 02, 1985, Barnsley","36y 142d","Right hand bat","Right arm medium fast","Bowling allrounder",NA
"233","EL King","2708b41c","EL King",NA,NA,NA,382169,NA,NA,NA,NA,NA,NA,NA,NA,"Emma King","Australia","Emma Louise King","March 25, 1992, Subiaco, Perth, Western Australia","29y 241d","Right hand bat","Right arm offbreak","Bowler",NA
"234","RL Grundy","e149d0ae","RL Grundy",NA,NA,NA,646211,NA,NA,NA,NA,NA,NA,1799,NA,"Rebecca Grundy","England","Rebecca Louise Grundy","July 12, 1990, Solihull, Warwickshire","31y 132d","Left hand bat","Slow left arm orthodox",NA,NA
"235","H Graham","99812d10","H Graham",8083,NA,NA,546629,NA,NA,1165067,NA,NA,NA,NA,NA,"Heather Graham","Australia","Heather Graham","October 05, 1996","25y 47d","Right hand bat","Right arm medium fast","Allrounder",NA
"236","E Biss","d2abb394","E Biss",NA,NA,NA,275577,NA,NA,NA,NA,NA,NA,NA,NA,"Emma Biss","Australia","Emma Biss",NA,NA,"Right hand bat","Right arm medium",NA,NA
"237","RM Farrell","4ed7d23f","RM Farrell",NA,NA,NA,273004,NA,NA,NA,NA,NA,NA,1759,NA,"Rene Farrell","Australia","Rene Michele Farrell","January 13, 1987, Kogarah, Sydney, New South Wales","34y 312d","Right hand bat","Right arm fast medium",NA,NA
"238","SL Bates","0816fb1e","SL Bates",7730,NA,NA,537440,NA,NA,959563,NA,NA,NA,NA,NA,"Samantha Bates","Australia","Samantha Lee Bates","November 29, 1995","25y 357d","Right hand bat","Slow left arm orthodox","Bowler",NA
"239","B Vakarewa","06f988b8","B Vakarewa",8245,NA,NA,944417,NA,NA,1381014,NA,NA,NA,NA,NA,"Belinda Vakarewa","Australia","Belinda Vakarewa","January 22, 1998","23y 303d","Right hand bat","Right arm fast medium","Bowler",NA
"240","EA Osborne","fe731c62","EA Osborne",5850,NA,NA,275483,NA,NA,326626,NA,NA,NA,470,NA,"Erin Osborne","Australia","Erin Alyse Osborne","June 27, 1989, Taree, New South Wales","32y 147d","Right hand bat","Right arm offbreak","Allrounder",NA
"241","NJ Carey","dff806f4","NJ Carey",7731,NA,NA,381217,NA,NA,955529,NA,NA,NA,892,NA,"Nicola Carey","Australia","Nicola Jane Carey","September 10, 1993, Sydney, New South Wales, Australia","28y 72d","Left hand bat","Right arm medium","Bowler",NA
"242","H Kaur","53cd8da6","H Kaur",NA,NA,NA,372317,NA,NA,313875,NA,NA,NA,559,NA,"Harmanpreet Kaur","India","Harmanpreet Kaur Bhullar","March 08, 1989, Punjab","32y 258d","Right hand bat","Right arm offbreak","Allrounder",NA
"243","E Kearney","437068a1","E Kearney",NA,NA,NA,683359,NA,NA,NA,NA,NA,NA,NA,NA,"Emma Kearney","Australia","Emma Kearney","September 24, 1989","32y 58d","Right hand bat","Right arm medium",NA,NA
"244","D Hazell","ea8b65ab","D Hazell",NA,NA,NA,297079,NA,NA,NA,NA,NA,NA,NA,NA,"Danielle Hazell","England","Danielle Hazell","May 13, 1988, Durham","33y 192d","Right hand bat","Right arm offbreak","Bowler",NA
"245","HNK Jensen","b8cce99f","HNK Jensen",7227,NA,NA,439029,NA,NA,918645,NA,NA,NA,1792,NA,"Hayley Jensen","New Zealand","Hayley Nicole Kayla Jensen","October 07, 1992, Christchurch, Canterbury","29y 45d","Right hand bat","Right arm medium","Bowler",NA
"246","A King","83558266","A King",8187,NA,NA,944393,NA,NA,955147,NA,NA,NA,NA,NA,"Alana King","Australia","Alana Maria King","November 22, 1995","25y 364d","Right hand bat","Legbreak","Allrounder",NA
"247","MJG Nielsen","e2410b5e","MJG Nielsen",NA,NA,NA,324246,NA,NA,NA,NA,NA,NA,483,NA,"Morna Nielsen","New Zealand","Morna Jessie Godwin Nielsen","February 24, 1990, Tauranga, Bay of Plenty","31y 270d","Right hand bat","Left arm medium, Slow left arm orthodox",NA,NA
"248","GL Triscari","207ba61e","GL Triscari",NA,NA,NA,275580,NA,NA,NA,NA,NA,NA,NA,NA,"Gemma Triscari","Australia","Gemma Louise Triscari","January 24, 1990, Subiaco, Perth, Western Australia","31y 301d","Right hand bat","Left arm fast medium",NA,NA
"249","EA Burns","2e0b6638","EA Burns",8077,NA,NA,275447,NA,NA,326631,NA,NA,NA,NA,NA,"Erin Burns","Australia","Erin Alexandra Burns","June 22, 1988, Wollongong, NSW","33y 152d","Right hand bat","Right arm offbreak","Allrounder",NA
"250","M Kapp","63e3b6b3","M Kapp",5426,NA,NA,351836,NA,NA,338010,NA,NA,NA,424,NA,"Marizanne Kapp","South Africa","Marizanne Kapp","January 04, 1990, Port Elizabeth, Cape Province","31y 321d","Right hand bat","Right arm medium","Allrounder",NA
"251","A Gardner","bc969efb","A Gardner",7734,NA,NA,858809,NA,NA,1165029,NA,NA,NA,4128,NA,"Ashleigh Gardner","Australia","Ashleigh Katherine Gardner","April 15, 1997, Bankstown, Sydney, New South Wales","24y 220d","Right hand bat","Right arm offbreak","Allrounder",NA
"252","SE Aley","5be043df","SE Aley",8093,NA,NA,53670,NA,NA,45794,NA,NA,NA,NA,NA,"Sarah Aley","Australia","Sarah Elizabeth Aley","June 03, 1984, Sydney, New South Wales","37y 171d","Right hand bat","Right arm medium","Bowler",NA
"253","D van Niekerk","8c5775f3","D van Niekerk",5428,NA,NA,364413,NA,NA,338071,NA,NA,NA,430,NA,"Dane van Niekerk","South Africa","Dane van Niekerk","May 14, 1993, Pretoria","28y 191d","Right hand bat","Legbreak","Allrounder",NA
"254","EA Perry","be150fc8","EA Perry",5851,NA,NA,275487,NA,NA,187173,NA,NA,NA,471,NA,"Ellyse Perry","Australia","Ellyse Alexandra Perry","November 03, 1990, Wahroonga, Sydney, New South Wales","31y 18d","Right hand bat","Right arm fast medium","Allrounder",NA
"255","LC Sthalekar","6bb7a785","LC Sthalekar",NA,NA,NA,53461,NA,NA,NA,NA,NA,NA,473,NA,"Lisa Sthalekar","Australia","Lisa Carprini Sthalekar","August 13, 1979, Poona (now Pune), Maharashtra, India","42y 100d","Right hand bat","Right arm offbreak",NA,NA
"256","SR Taylor","92cf79a8","SR Taylor",5824,NA,NA,355359,NA,NA,317603,NA,NA,NA,573,NA,"Stafanie Taylor","West Indies","Stafanie Roxann Taylor","June 11, 1991, Spanish Town, Jamaica","30y 163d","Right hand bat","Right arm offbreak","Allrounder",NA
"257","SR Taylor","a9231c3f","Steven Ryan Taylor",NA,NA,NA,348133,NA,NA,288229,NA,1443,NA,NA,NA,"Steven Taylor","U.S.A.","Steven Ryan Taylor","November 09, 1993, Hialeah, Florida","28y 12d","Left hand bat","Right arm offbreak","Opening batter",NA
"258","P Cleary","507acf2e","P Cleary",7732,NA,NA,597029,NA,NA,1077476,NA,NA,NA,NA,NA,"Piepa Cleary","Australia","Piepa Cleary","July 17, 1996","25y 127d","Right hand bat","Right arm medium","Bowler",NA
"259","DJS Dottin","53bee17f","DJS Dottin",NA,NA,NA,355349,NA,NA,317605,NA,NA,NA,577,NA,"Deandra Dottin","West Indies","Deandra Jalisa Shakira Dottin","June 21, 1991, Barbados","30y 153d","Right hand bat","Right arm fast medium","Allrounder",NA
"260","HL Ferling","a594a6e0","HL Ferling",5980,NA,NA,381266,NA,NA,955088,NA,NA,NA,996,NA,"Holly Ferling","Australia","Holly Lee Ferling","December 22, 1995, Kingaroy, Queensland","25y 334d","Right hand bat","Right arm fast medium","Bowler",NA
"261","SJ Johnson","d7b754d4","SJ Johnson",8095,NA,NA,542229,NA,NA,959560,NA,NA,NA,NA,NA,"Sammy-Jo Johnson","Australia","Sammy-Jo Johnson","November 05, 1992","29y 16d","Right hand bat","Right arm medium fast","Allrounder",NA
"262","H Birkett","852820e3","H Birkett",NA,NA,NA,702609,NA,NA,NA,NA,NA,NA,NA,NA,"Haidee Birkett","Australia","Haidee Birkett",NA,NA,"Right hand bat","Right arm medium fast",NA,NA
"263","JL Jonassen","0475a86b","JL Jonassen",5848,NA,NA,374936,NA,NA,372498,NA,NA,NA,468,NA,"Jess Jonassen","Australia","Jessica Louise Jonassen","November 05, 1992, Emerald, Queensland","29y 16d","Left hand bat","Slow left arm orthodox","Bowler",NA
"264","JL Barsby","47bcaf7a","JL Barsby",7729,NA,NA,381263,NA,NA,955080,NA,NA,NA,NA,NA,"Jemma Barsby","Australia","Jemma Louise Barsby","October 04, 1995, Brisbane","26y 48d","Left hand bat","Right arm offbreak, Slow left arm orthodox","Allrounder",NA
"265","C Raack","28aba384","C Raack",NA,NA,NA,792135,NA,NA,NA,NA,NA,NA,3983,NA,"Celeste Raack","Ireland","Celeste Raack","May 18, 1994","27y 187d","Right hand bat","Legbreak",NA,NA
"266","LG Smith","9c515112","LG Smith",8058,NA,NA,788623,NA,NA,1165031,NA,NA,NA,NA,NA,"Lauren Smith","Australia","Lauren Georgia Smith","October 06, 1996","25y 46d","Right hand bat","Right arm offbreak","Bowler",NA
"267","DM Kimmince","d693012d","DM Kimmince",6031,NA,NA,263473,NA,NA,139528,NA,NA,NA,1760,NA,"Delissa Kimmince","Australia","Delissa Maree Kimmince","May 14, 1989, Warwick, Queensland","32y 191d","Right hand bat","Right arm medium","Bowler",NA
"268","K Sutherland","98797fb4","K Sutherland",NA,NA,NA,419652,NA,NA,NA,NA,NA,NA,NA,NA,"Kara Sutherland","Australia","Kara Sutherland","September 26, 1991, Ballina, New South Wales","30y 56d","Left hand bat","Left arm fast medium",NA,NA
"269","S Mandhana","5d2eda89","S Mandhana",NA,NA,NA,597806,NA,NA,384151,NA,NA,NA,4101,1809,"Smriti Mandhana","India","Smriti Shriniwas Mandhana","July 18, 1996, Bombay (now Mumbai), Maharashtra","25y 126d","Left hand bat","Right arm offbreak","Opening batter",NA
"270","ML Gibson","27fa592f","ML Gibson",NA,NA,NA,947807,NA,NA,NA,NA,NA,NA,NA,NA,"Maisy Gibson","Australia","Maisy Leigh Gibson","September 14, 1996","25y 68d","Left hand bat","Legbreak","Bowler",NA
"271","RL Haynes","d7c6b0fb","RL Haynes",5845,NA,NA,268889,NA,NA,97448,NA,NA,NA,465,NA,"Rachael Haynes","Australia","Rachael Louise Haynes","December 26, 1986, Carlton, Melbourne, Victoria","34y 330d","Left hand bat","Left arm medium","Batter",NA
"272","JL Hunter","110839f2","JL Hunter",NA,NA,NA,53674,NA,NA,NA,NA,NA,NA,467,NA,"Julie Hunter","Australia","Julie Lauren Hunter","March 15, 1984, Box Hill, Melbourne, Victoria","37y 251d","Right hand bat","Right arm medium",NA,NA
"273","A Shrubsole","32497ecd","A Shrubsole",NA,NA,NA,254238,NA,NA,113874,NA,NA,NA,555,NA,"Anya Shrubsole","England","Anya Shrubsole","December 07, 1991, Bath, Somerset","29y 349d","Right hand bat","Right arm medium","Bowler",NA
"274","KJ Hartshorn","97d86043","KJ Hartshorn",NA,NA,NA,482071,NA,NA,NA,NA,NA,NA,NA,NA,"Katie-Jane Hartshorn","Australia","Katie-Jane Hartshorn","June 20, 1994","27y 154d","Right hand bat","Left arm medium",NA,NA
"275","SJ Elliott","13f8d4b5","SJ Elliott",NA,NA,NA,53638,NA,NA,NA,NA,NA,NA,NA,NA,"Sarah Elliott","Australia","Sarah Jane Elliott","January 04, 1982, Melbourne, Victoria","39y 321d","Right hand bat","Legbreak googly",NA,NA
"276","NR Sciver","f3a18a0c","NR Sciver",5411,NA,NA,515905,NA,NA,500884,NA,NA,NA,1800,NA,"Nat Sciver","England","Natalie Ruth Sciver","August 20, 1992, Tokyo","29y 93d","Right hand bat","Right arm medium","Allrounder",NA
"277","L Cheatle","275dff85","L Cheatle",7733,NA,NA,858811,NA,NA,1232567,NA,NA,NA,3197,NA,"Lauren Cheatle","Australia","Lauren Roma Cheatle","November 06, 1998","23y 15d","Left hand bat","Left arm fast medium","Bowler",NA
"278","EJ Villani","cde96d97","EJ Villani",5982,NA,NA,275442,NA,NA,250207,NA,NA,NA,998,NA,"Elyse Villani","Australia","Elyse Jane Villani","October 06, 1989, Melbourne, Victoria","32y 46d","Right hand bat","Right arm fast medium","Middle order batter",NA
"279","KM Beams","fa8f9dc3","KM Beams",NA,NA,NA,275563,NA,NA,NA,NA,NA,NA,3165,NA,"Kristen Beams","Australia","Kristen Maree Beams","November 06, 1984, Launceston, Tasmania","37y 15d","Right hand bat","Legbreak googly","Bowler",NA
"280","KJ Garth","0b69a844","KJ Garth",NA,NA,NA,418423,NA,NA,NA,NA,NA,NA,1769,NA,"Kim Garth","Ireland","Kimberley Jennifer Garth","April 25, 1996, Dublin","25y 210d","Right hand bat","Right arm medium fast","Opening batter",NA
"281","AR Reakes","13781d43","AR Reakes",8107,NA,NA,375260,NA,NA,373383,NA,NA,NA,NA,NA,"Angela Reakes","Australia","Angela Rose Reakes","December 27, 1990, Byron Bay, New South Wales","30y 329d","Right hand bat","Legbreak googly","Allrounder",NA
"282","EA Leys","a6d06180","EA Leys",NA,NA,NA,788471,NA,NA,NA,NA,NA,NA,NA,NA,"Emily Leys","Australia","Emily A Leys","February 18, 1993, Gunnedah, New South Wales","28y 276d","Right hand bat","Left arm medium",NA,NA
"283","K Pope","f95e48fe","K Pope",NA,NA,NA,805403,NA,NA,NA,NA,NA,NA,NA,NA,"K Pope","Australia","K Pope",NA,NA,NA,NA,NA,NA
"284","M Blows","72e3d89d","M Blows",10765,NA,NA,952511,NA,NA,1232594,NA,NA,NA,NA,NA,"Makinley Blows","Australia","Makinley Blows","December 12, 1997","23y 344d","Right hand bat","Right arm medium","Batter",NA
"285","C Leeson","d71e33bb","C Leeson",10837,NA,NA,1071702,NA,NA,1381009,NA,NA,NA,NA,NA,"Carly Leeson","Australia","Carly May Leeson","November 09, 1998","23y 12d","Right hand bat","Right arm medium","Allrounder",NA
"286","AC Jayangani","ac56b5a7","AC Jayangani",NA,NA,NA,318853,NA,NA,303894,NA,NA,NA,600,NA,"Chamari Athapaththu","Sri Lanka","Athapaththu Mudiyanselage Chamari Jayangani Kumai Athapaththu","February 09, 1990, Gokarella","31y 285d","Left hand bat","Right arm offbreak","Batting allrounder",NA
"287","L Griffith","abe30ff7","L Griffith",10136,NA,NA,437246,NA,NA,913873,NA,NA,NA,NA,NA,"Lisa Griffith","Australia","Lisa Griffith","August 28, 1992, Bathurst, New South Wales","29y 85d","Right hand bat","Right arm medium","Allrounder",NA
"288","NM Hancock","af8c3a85","NM Hancock",7736,NA,NA,767597,NA,NA,1165059,NA,NA,NA,NA,NA,"Nicola Hancock","Australia","Nicola Maggie Hancock","November 08, 1995, Melbourne, Victoria","26y 13d","Right hand bat","Right arm medium","Allrounder",NA
"289","V Krishnamurthy","c3f21798","V Krishnamurthy",NA,NA,NA,442205,NA,NA,240081,NA,NA,NA,3166,NA,"Veda Krishnamurthy","India","Veda Krishnamurthy","October 16, 1992","29y 36d","Right hand bat","Legbreak","Middle order batter",NA
"290","SM Betts","c4fd751d","SM Betts",8115,NA,NA,381313,NA,NA,955123,NA,NA,NA,NA,NA,"Samantha Betts","Australia","Samantha M Betts","February 06, 1996","25y 289d","Right hand bat","Right arm medium","Bowler",NA
"291","RS Dick","40d4befb","RS Dick",NA,NA,NA,419650,NA,NA,NA,NA,NA,NA,NA,NA,"Rhiannon Dick","Australia","Rhiannon Sarah Dick","September 21, 1990, Bankstown, Sydney, New South Wales","31y 61d","Left hand bat","Slow left arm orthodox",NA,NA
"292","HM Brennan","22fad2b6","HM Brennan",NA,NA,NA,947815,NA,NA,NA,NA,NA,NA,NA,NA,"Hayleigh Brennan","Australia","Hayleigh Maree Brennan",NA,NA,NA,NA,NA,NA
"293","NE Bolton","dd883071","NE Bolton",7054,NA,NA,267611,NA,NA,94002,NA,NA,NA,1758,NA,"Nicole Bolton","Australia","Nicole Elizabeth Bolton","January 17, 1989, Subiaco, Perth, Western Australia","32y 308d","Left hand bat","Right arm offbreak","Opening batter",NA
"294","TMM Newton","93fe473e","TMM Newton",NA,NA,NA,544428,NA,NA,1060962,NA,NA,NA,NA,NA,"Thamsyn Newton","New Zealand","Thamsyn Michelle Moupia Newton","June 03, 1995, Paraparaumu","26y 171d","Right hand bat","Right arm medium","Bowler",NA
"295","GA Elwiss","287ed3a0","GA Elwiss",NA,NA,NA,297036,NA,NA,NA,NA,NA,NA,999,NA,"Georgia Elwiss","England","Georgia Amanda Elwiss","May 31, 1991, Wolverhampton, Staffordshire","30y 174d","Right hand bat","Right arm medium fast","Batting allrounder",NA
"296","EG Fazackerley","caaf2219","EG Fazackerley",10831,NA,NA,1123417,NA,NA,1165040,NA,NA,NA,NA,NA,"Erin Fazackerley","Australia","Erin Grace Fazackerley","July 03, 1998,  Hobart, Tasmania","23y 141d",NA,NA,"Allrounder",NA
"297","CJ Koski","0f00b4d7","CJ Koski",NA,NA,NA,419651,NA,NA,NA,NA,NA,NA,NA,NA,"Claire Koski","Australia","Claire Jennifer Koski","March 13, 1991, Campbelltown, Sydney, New South Wales","30y 253d","Right hand bat",NA,"Wicketkeeper batter","Wicketkeeper"
"298","G Wareham","f0b4e47d","G Wareham",8244,NA,NA,946057,NA,NA,1381142,NA,NA,NA,4041,NA,"Georgia Wareham","Australia","Georgia Wareham","May 26, 1999, Terang, Victoria","22y 179d","Right hand bat","Legbreak","Bowler",NA
"299","T Peschel","923402d8","T Peschel",10431,NA,NA,679171,NA,NA,955520,NA,NA,NA,NA,NA,"Taneale Peschel","Australia","Taneale Peschel","August 29, 1994","27y 84d","Right hand bat","Right arm medium fast","Allrounder",NA
"300","M Phillips","216ae65f","M Phillips",NA,NA,NA,538291,NA,NA,NA,NA,NA,NA,NA,NA,"Meg Phillips","Australia","Meg Phillips","February 02, 1996","25y 293d","Right hand bat","Right arm medium",NA,NA
"301","E Thompson","a7c3c366","E Thompson",8076,NA,NA,430847,NA,NA,900587,NA,NA,NA,NA,NA,"Emma Thompson","Australia","Emma Thompson",NA,NA,"Right hand bat","Right arm medium","Batter",NA
"302","NE Stalenberg","609c519e","NE Stalenberg",8059,NA,NA,592588,NA,NA,963176,NA,NA,NA,NA,NA,"Naomi Stalenberg","Australia","Naomi Elizabeth Stalenberg","April 18, 1994, Blacktown, New South Wales, Australia","27y 217d","Right hand bat","Right arm medium","Allrounder",NA
"303","A Sutherland","65d9b6b6","A Sutherland",10833,NA,NA,1071705,NA,NA,2124559,NA,NA,NA,4118,NA,"Annabel Sutherland","Australia","Annabel Sutherland","October 12, 2001","20y 40d","Right hand bat","Right arm medium fast","Allrounder",NA
"304","M du Preez","e219f17a","M du Preez",5425,NA,NA,54646,NA,NA,62578,NA,NA,NA,417,NA,"Mignon du Preez","South Africa","Mignon du Preez","June 13, 1989, Pretoria","32y 161d","Right hand bat",NA,"Top order batter","Wicketkeeper"
"305","IMHC Joyce","d3b4b8ed","IMHC Joyce",NA,NA,NA,54877,NA,NA,NA,NA,NA,NA,1766,NA,"Isobel Joyce","Ireland","Isobel Mary Helen Cecilia Joyce","July 25, 1983, Wicklow","38y 119d","Right hand bat","Left arm medium","Allrounder",NA
"306","KL Cross","1ade138e","KL Cross",NA,NA,NA,297085,NA,NA,NA,NA,NA,NA,1798,NA,"Kate Cross","England","Kathryn Laura Cross","October 03, 1991, Manchester, Lancashire","30y 49d","Right hand bat","Right arm medium fast","Bowler",NA
"307","A Hartley","53d50717","A Hartley",NA,NA,NA,469886,NA,NA,NA,NA,NA,NA,3338,NA,"Alex Hartley","England","Alexandra Hartley","September 06, 1993, Blackburn, Lancashire","28y 76d","Right hand bat","Slow left arm orthodox","Bowler",NA
"308","RK O'Donnell","2ec8a400","RK O'Donnell",NA,NA,NA,1128754,NA,NA,NA,NA,NA,NA,NA,NA,"Rhiann O'Donnell","Australia","Rhiann Kate O'Donnell","April 14, 1998, Mildura, Victoria","23y 221d","Right hand bat","Right arm medium","Bowler",NA
"309","SK Moloney","a0bc8dc1","SK Moloney",8007,NA,NA,586869,NA,NA,1753492,NA,NA,NA,NA,NA,"Sasha Moloney","Australia","Sasha K Moloney","June 14, 1992","29y 160d","Right hand bat","Right arm offbreak","Batter",NA
"310","S Luus","6d76bc23","S Luus",NA,NA,NA,487007,NA,NA,1037906,NA,NA,NA,428,NA,"Sune Luus","South Africa","Sune Luus","January 05, 1996","25y 320d","Right hand bat","Legbreak","Allrounder",NA
"311","TJ Vlaeminck","ef70a34b","TJ Vlaeminck",NA,NA,NA,1071711,NA,NA,1578953,NA,NA,NA,4124,NA,"Tayla Vlaeminck","Australia","Tayla Jade Vlaeminck","October 27, 1998, Bendigo, Victoria","23y 25d","Right hand bat","Right arm medium","Bowler",NA
"312","BM Devchand","2344de9c","BM Devchand",NA,NA,NA,537427,NA,NA,NA,NA,NA,NA,NA,NA,"Bhavi Devchand","Australia","Bhavi M Devchand","December 24, 1992","28y 332d","Right hand bat","Right arm medium","Allrounder",NA
"313","C Webb","1f4a8a2a","C Webb",11324,NA,NA,1123362,NA,NA,1381038,NA,NA,NA,NA,NA,"Courtney Webb","Australia","Courtney Anne Webb","November 30, 1999","21y 356d","Right hand bat","Legbreak","Batter",NA
"314","H Silver-holmes","2bfc7199","H Silver-holmes",10888,NA,NA,1142973,NA,NA,2213471,NA,NA,NA,NA,NA,"Hayley Silver-holmes","Australia","Hayley Imogen Silver-holmes","August 18, 2003","18y 95d","Right hand bat","Right arm medium fast","Bowling allrounder",NA
"315","R Trenaman","877dd709","R Trenaman",10800,NA,NA,1065982,NA,NA,1579215,NA,NA,NA,NA,NA,"Rachel Trenaman","Australia","Rachel CatherineTrenaman","April 18, 2001","20y 217d","Right hand bat","Legbreak","Allrounder",NA
"316","G Prestwidge","c218e4e7","G Prestwidge",8096,NA,NA,792417,NA,NA,1381045,NA,NA,NA,NA,NA,"Georgia Prestwidge","Australia","Georgia Kate Prestwidge","December 17, 1997","23y 339d","Right hand bat","Right arm medium","Bowler",NA
"317","KL Short","712bd44c","KL Short",NA,NA,NA,225716,NA,NA,NA,NA,NA,NA,NA,NA,"Kirby Short","Australia","Kirby L Short","November 03, 1986, Brisbane, Queensland","35y 18d","Right hand bat","Right arm offbreak",NA,NA
"318","S Ismail","108c4c09","S Ismail",5431,NA,NA,276997,NA,NA,158733,NA,NA,NA,423,NA,"Shabnim Ismail","South Africa","Shabnim Ismail","October 05, 1988, Cape Town, Cape Province","33y 47d","Left hand bat","Right arm fast medium","Bowler",NA
"319","Nida Dar","ed840f44","Nida Dar",NA,NA,NA,333355,NA,NA,161704,NA,NA,NA,636,NA,"Nida Dar","Pakistan","Nida Rashid Dar","January 02, 1987, Gujranwala, Punjab","34y 323d","Right hand bat","Right arm offbreak","Bowling allrounder",NA
"320","HJ Darlington","50b558d2","HJ Darlington",10889,NA,NA,1128781,NA,NA,2124561,NA,NA,NA,NA,NA,"Hannah Darlington","Australia","Hannah Joy Darlington","January 25, 2002","19y 300d","Right hand bat","Right arm medium","Bowler",NA
"321","S Campbell","c6b09326","S Campbell",10899,NA,NA,1142970,NA,NA,1947740,NA,NA,NA,NA,NA,"Stella Campbell","Australia","Stella Campbell","June 15, 2002","19y 159d","Right hand bat","Right arm medium","Bowler",NA
"322","T Flintoff","5471b94a","T Flintoff",10943,NA,NA,1201479,NA,NA,2314605,NA,NA,NA,NA,NA,"Tess Flintoff","Australia","Tess Flintoff","March 31, 2003","18y 235d","Right hand bat","Right arm medium","Bowler",NA
"323","CL Rafferty","14a760dc","CL Rafferty",11322,NA,NA,1128760,NA,NA,2124580,NA,NA,NA,NA,NA,"Chloe Rafferty","Australia","Chloe Lee Rafferty","June 16, 1999, Williamstown, Victoria","22y 158d","Right hand bat","Right arm medium","Bowler",NA
"324","AC Kerr","7673c908","AC Kerr",11091,NA,NA,803971,NA,NA,1753217,NA,NA,NA,3756,NA,"Amelia Kerr","New Zealand","Amelia Charlotte Kerr","October 13, 2000, Wellington","21y 39d","Right hand bat","Legbreak","Allrounder",NA
"325","M Penna","36453b99","M Penna",11561,NA,NA,1201476,NA,NA,1806555,NA,NA,NA,NA,NA,"Madeline Penna","Australia","Madeline Penna","August 30, 2000","21y 83d","Right hand bat","Legbreak","Bowler",NA
"326","CL Tryon","4d4605e6","CL Tryon",5429,NA,NA,453370,NA,NA,977050,NA,NA,NA,1013,NA,"Chloe Tryon","South Africa","Chloe-Lesleigh  Tryon","January 25, 1994, Kingsway, Durban","27y 300d","Right hand bat","Slow left arm orthodox","Allrounder",NA
"327","CG Sippel","c2ac0db5","CG Sippel",11819,NA,NA,1167399,NA,NA,1806583,NA,NA,NA,NA,NA,"Courtney Grace Sippel","Australia","Courtney Grace Sippel","April 27, 2001","20y 208d","Left hand bat","Right arm medium","Bowler",NA
"328","S Horley","8cd72e0b","S Horley",NA,NA,NA,1142972,NA,NA,NA,NA,NA,NA,NA,NA,"Saskia Horley","Australia","Saskia Horley","February 23, 2000","21y 272d","Right hand bat","Slow left arm orthodox","Allrounder",NA
"329","E Kershaw","8eeebce2","E Kershaw",8186,NA,NA,382234,NA,NA,401245,NA,NA,NA,NA,NA,"Erica Kershaw","Australia","Erica Joan Kershaw","December 23, 1991, Castlemaine, Victoria","29y 333d","Left hand bat",NA,"Wicketkeeper batter","Wicketkeeper"
"330","CB Neale","34faa3ac","CB Neale",12220,NA,NA,1164564,NA,NA,2251967,NA,NA,NA,NA,NA,"Courtney Neale","Australia","Courtney Belle Neale","July 04, 1998, Officer, Victoria","23y 140d","Right hand bat","Right arm medium","Bowler",NA
"331","D Brown","2e81be88","D Brown",10913,NA,NA,388845,NA,NA,1962144,NA,NA,NA,NA,NA,"Darcie Brown","Australia","Darcie R Brown","March 07, 2003, Kapunda, South Australia, Australia","18y 259d","Right hand bat","Right arm fast","Bowler",NA
"332","A Smith","b125ce63","A Smith",12428,NA,NA,1173526,NA,NA,2266853,NA,NA,NA,NA,NA,"Amy Smith","Australia","Amy Smith","November 16, 2004","17y 5d","Right hand bat","Legbreak","Bowler",NA
