"","name.x","identifier","unique_name","key_bigbash","key_cricbuzz","key_crichq","key_cricinfo","key_cricinfo_2","key_cricingif","key_cricketarchive","key_cricketarchive_2","key_opta","key_opta_2","key_pulse","key_pulse_2","name.y","country","Full Name","Born","Age","Batting Style","Bowling Style","Playing Role","Fielding Position"
"148","P Litchfield","4e6ef14f","P Litchfield",11720,NA,NA,1176132,NA,NA,2273229,NA,NA,NA,NA,NA,"Phoebe Litchfield","Australia","Phoebe Litchfield","April 18, 2003","18y 217d","Left hand bat","Legbreak","Batter",NA
"149","Nida Dar","ed840f44","Nida Dar",NA,NA,NA,333355,NA,NA,161704,NA,NA,NA,636,NA,"Nida Dar","Pakistan","Nida Rashid Dar","January 02, 1987, Gujranwala, Punjab","34y 323d","Right hand bat","Right arm offbreak","Bowling allrounder",NA
"150","HJ Darlington","50b558d2","HJ Darlington",10889,NA,NA,1128781,NA,NA,2124561,NA,NA,NA,NA,NA,"Hannah Darlington","Australia","Hannah Joy Darlington","January 25, 2002","19y 300d","Right hand bat","Right arm medium","Bowler",NA
"151","S Ismail","108c4c09","S Ismail",5431,NA,NA,276997,NA,NA,158733,NA,NA,NA,423,NA,"Shabnim Ismail","South Africa","Shabnim Ismail","October 05, 1988, Cape Town, Cape Province","33y 47d","Left hand bat","Right arm fast medium","Bowler",NA
"152","CL Tryon","4d4605e6","CL Tryon",5429,NA,NA,453370,NA,NA,977050,NA,NA,NA,1013,NA,"Chloe Tryon","South Africa","Chloe-Lesleigh  Tryon","January 25, 1994, Kingsway, Durban","27y 300d","Right hand bat","Slow left arm orthodox","Allrounder",NA
"153","T Flintoff","5471b94a","T Flintoff",10943,NA,NA,1201479,NA,NA,2314605,NA,NA,NA,NA,NA,"Tess Flintoff","Australia","Tess Flintoff","March 31, 2003","18y 235d","Right hand bat","Right arm medium","Bowler",NA
"154","CL Rafferty","14a760dc","CL Rafferty",11322,NA,NA,1128760,NA,NA,2124580,NA,NA,NA,NA,NA,"Chloe Rafferty","Australia","Chloe Lee Rafferty","June 16, 1999, Williamstown, Victoria","22y 158d","Right hand bat","Right arm medium","Bowler",NA
"155","ML Green","865eae1f","ML Green",6856,NA,NA,438265,NA,NA,916034,NA,NA,NA,1790,NA,"Maddy Green","New Zealand","Madeline Lee Green","October 20, 1992, Auckland","29y 32d","Right hand bat","Right arm offbreak","Middle order batter",NA
"156","J Hicks","38970358","J Hicks",8104,NA,NA,812159,NA,NA,1165010,NA,NA,NA,NA,NA,"Jodie Hicks","Australia","Jodie Hicks","January 19, 1997, Hay, New South Wales","24y 306d","Right hand bat","Right arm medium","Allrounder",NA
"157","S Campbell","c6b09326","S Campbell",10899,NA,NA,1142970,NA,NA,1947740,NA,NA,NA,NA,NA,"Stella Campbell","Australia","Stella Campbell","June 15, 2002","19y 159d","Right hand bat","Right arm medium","Bowler",NA
